Kriterie	Huvudmening bristtyp	Förklaring briststyp
2.1.4 Enknapps snabbtangenter	Enknappskommandon kan aktiveras oavsiktligt.	Snabbtangenter som aktiveras med en enskild tangent kan utlösas oavsiktligt utan möjlighet att stänga av, ändra eller begränsa funktionen.
2.2.1 Justera tidsgränser	Fasta tidsgränser utan möjlighet till anpassning.	Innehåll eller funktioner med tidsgränser saknar möjlighet att stängas av, justeras eller förlängas när detta krävs för att kunna använda innehållet.
2.2.1 Automatisk omladdning	Automatisk uppdatering sker utan användarens kontroll.	Innehåll som uppdateras eller laddas om automatiskt utan att ge användaren möjlighet att pausa, stoppa eller kontrollera uppdateringen.
2.2.2 Pausa eller stäng av rörelser	Otillräcklig styrning av rörligt innehåll.	Rörligt, blinkande eller automatiskt uppdaterat innehåll saknar funktion för att pausas, stoppas eller döljas.
2.3.1 Tre blinkningar eller under tröskelvärdet	Blinkande innehåll överskrider säkra gränsvärden.	Innehåll blinkar på ett sätt eller med en frekvens innebär risk för anfall eller besvär för användare.
2.4.1 Hoppa förbi återkommande innehåll	Återkommande innehåll passeras ineffektivt.	Funktion saknas för att hoppa över återkommande innehåll som sidhuvud och huvudnavigation. Tangentbordsanvändare behöver tabba igenom samma innehåll upprepade gånger.
2.4.2 Sidans titel	Sidans titel identifierar inte innehållet.	Sidans titel saknas, är otydlig eller ger otillräcklig beskrivning av sidans innehåll eller syfte på vilket försvårar för användare att orientera sig.
2.4.3 Meningsfull fokusordning	Fokusordningen är inkonsekvent och oförutsägbar.	Fokusordningen är inkonsekvent och oförutsägbar i förhållande till den visuella presentationen.
2.4.4 Syfte för länkar	Länkar saknar tillräcklig syftebeskrivning.	Länktexter ger otillräckliga beskrivningar av länkens destination eller funktion vilket gör syftet svårtolkat för användare.
2.4.5 Flera sätt att navigera	Begränsade navigeringsvägar till innehåll.	Det finns endast ett sätt att navigera till sidan eller funktionen.
2.4.6 Beskrivande rubriker	Rubriker är otydliga.	Rubriker är otydliga eller har otillräckliga beskrivningar av innehållet de introducerar.
2.4.6 Beskrivande ledtexter	Ledtexter ger otillräcklig beskrivning av innehållets syfte.	Ledtexter saknas eller anger inte syftet med det fält eller den funktion de hör till.
2.4.7 Synlig fokusmarkering	Svåridentifierad fokusmarkering vid navigering.	Fokusindikator saknas eller framträder otydligt vid tangentbordsnavigering.
2.4.11 Fokus inte dolt	Tangentbordsfokus döljs av innehållet.	Element som har tangentbordsfokus täcks helt eller delvis så att fokusets placering blockeras av innehåll.
2.5.1 Komplexa fingerrörelser	Funktioner kräver komplexa fingerrörelser.	Innehåll eller funktioner kräver gester med flera kontaktpunkter eller rörelsebanor mer tillgängliga alternativ.
2.5.2 Ångra klick	Pekaraktiverade funktioner saknar användarkontroller.	Funktioner som aktiveras med pekare utförs direkt utan möjlighet att avbryta före aktivering eller ångra efteråt.
2.5.3 Etiketter i namn	Maskinläsbara namn skiljer sig från visuella etiketter.	Visuella etiketter saknar motsvarande information i komponenternas maskinläsbara namn.
2.5.4 Rörelsestyrning	Funktioner är beroende av rörelsestyrning.	Funktioner som styrs med rörelser saknar alternativ användning eller möjlighet att stängas av.
2.5.7 Dragrörelser	Funktioner är beroende av dragrörelser.	Funktioner som kräver dragande rörelser eller gester saknar ett alternativ som kan utföras med en pekarinteraktion.
2.5.8 Klickyta	För små klickytor för interaktiva komponenter.	Interaktiva komponenter har begränsade klickytor som försvårar aktivering.
3.1.1 Sidans språk	Sidans språk saknar maskinläsbar identifiering.	Information om sidans huvudsakliga språk saknas eller förmedlas bristfälligt maskinläsbart.
3.1.2 Språkförändringar	Språkändringar är inkonsekvent uppmärkta i koden.	Information om när språk ändras saknas maskinläsbart.
3.1.2 Språk för textalternativ	Språk för alternativtexter saknar maskinläsbar identifiering.	Alternativtexter andra språk än sidans huvudspråk saknar språkangivelse.
3.2.1 Kontextförändring vid fokus	Fokus orsakar oväntade förändringar i innehållet.	När komponenter fokusmarkeras uppkommer oförutsägbara förändringar av innehåll eller funktion utan att användaren har initierat förändringarna.
3.2.2 Kontextförändring vid inmatning	Kontext förändras vid inmatning.	När användaren interagerar med komponenter där värdet ändras sker kontextförflyttning utan förvarning.
3.2.3 Konsekvent navigering	Navigeringsfunktioner presenteras inkonsekvent.	Navigeringsmekanismer som återkommer på flera sidor presenteras i olika ordning eller på olika sätt utan logisk anledning.
3.2.4 Konsekvent identifiering	Inkonsekvent identifiering av återkommande komponenter.	Återkommande komponenter saknar enhetliga benämningar mellan sidor och vyer.
3.2.6 Konsekvent hjälp	Inkonsekvent presentation av hjälpfunktioner.	Hjälpmekanismer som återkommer på flera sidor placeras eller presenteras på olika sätt utan logisk anledning.
3.3.1 Felidentifiering	Felhantering i formulär är otydlig.	Fel kommuniceras på ett otydligt och inkonsekvent sätt.
3.3.2 Ledtexter, instruktioner	Instruktioner och ledtexter är inkonsekventa.	Texter som ska stödja användaren vid inmatning är otydliga och inkonsekventa.
3.3.3 Korrigeringsförslag	Stöd vid inmatning saknas eller är inkonsekvent.	När fel uppstår vid inmatning av information uteblir korrigeringsförslag helt eller presenteras på olika sätt.
3.3.4 Förebyggande av fel (juridiskt, ekonomiskt, data)	Kritiska åtgärder saknar skydd mot felaktig inmatning eller aktivering.	Funktioner saknar möjlighet till kontroll, bekräftelse eller återställning innan kritiska åtgärder genomförs.
3.3.7 Upprepad inmatning	Användare behöver ange samma information upprepade gånger.	Information som tidigare har angetts i samma process saknar möjlighet för återanvändning.
3.3.8 Tillgänglig autentisering	Autentisering ställer krav på svåråtergivna kognitiva uppgifter.	Inloggning eller autentisering kräver att användaren måste memorera, lösa eller återge information utan andra tillgängliga alternativ.
4.1.2 Namn, Roll, Värde	Komponenters namn, roll eller värde saknar maskinläsbar information.	Komponenter saknar eller har bristfällig information om namn, roll, tillstånd, egenskaper eller värden maskinläsbart.
4.1.3 Statusmeddelanden	Statusmeddelanden saknar maskinläsbar information.	Statusmeddelanden saknar maskinläsbar information om förändringar av innehållet och kräver fokusförflyttning utan att användaren flyttar fokus.
